Ticker,Strategy,Price,Quantity
COFORGE,Velocity,1988.9,5
DIVISLAB,Velocity,9165.0,1
APARINDS,Velocity,17400.0,1
LAURUSLABS,Velocity,1861.6,5
LENSKART,Velocity,663.75,15
KALYANKJIL,Compounding,573.0,17
RADICO,Compounding,4474.3,2
OFSS,Compounding,12187.0,1
FLUOROCHEM,Compounding,4740.1,2
NAUKRI,Compounding,1356.0,7
